datetime,duration,unit,consumption,generation
2023-06-05T03:30:00-05:00,900,Wh,532,0
2023-06-05T03:45:00-05:00,900,Wh,223,0
2023-06-05T04:00:00-05:00,900,Wh,227,0
2023-06-05T04:15:00-05:00,900,Wh,258,0
2023-06-05T04:30:00-05:00,900,Wh,394,0
2023-06-05T04:45:00-05:00,900,Wh,1163,0
2023-06-05T05:00:00-05:00,900,Wh,653,0
2023-06-05T05:15:00-05:00,900,Wh,204,0
2023-06-05T05:30:00-05:00,900,Wh,188,0
2023-06-05T05:45:00-05:00,900,Wh,199,0
2023-06-05T06:00:00-05:00,900,Wh,206,0
2023-06-05T06:15:00-05:00,900,Wh,215,0
2023-06-05T06:30:00-05:00,900,Wh,223,0
2023-06-05T06:45:00-05:00,900,Wh,236,0
2023-06-05T07:00:00-05:00,900,Wh,222,0
2023-06-05T07:15:00-05:00,900,Wh,247,0
2023-06-05T07:30:00-05:00,900,Wh,232,0
2023-06-05T07:45:00-05:00,900,Wh,202,0
2023-06-05T08:00:00-05:00,900,Wh,179,0
2023-06-05T08:15:00-05:00,900,Wh,215,0
2023-06-05T08:30:00-05:00,900,Wh,192,0
2023-06-05T08:45:00-05:00,900,Wh,179,0
2023-06-05T09:00:00-05:00,900,Wh,194,0
2023-06-05T09:15:00-05:00,900,Wh,235,0
2023-06-05T09:30:00-05:00,900,Wh,214,0
2023-06-05T09:45:00-05:00,900,Wh,215,0
2023-06-05T10:00:00-05:00,900,Wh,247,0
2023-06-05T10:15:00-05:00,900,Wh,220,0
2023-06-05T10:30:00-05:00,900,Wh,205,0
2023-06-05T10:45:00-05:00,900,Wh,216,0
2023-06-05T11:00:00-05:00,900,Wh,205,0
2023-06-05T11:15:00-05:00,900,Wh,217,0
2023-06-05T11:30:00-05:00,900,Wh,211,0
2023-06-05T11:45:00-05:00,900,Wh,247,0
2023-06-05T12:00:00-05:00,900,Wh,253,0
2023-06-05T12:15:00-05:00,900,Wh,341,0
2023-06-05T12:30:00-05:00,900,Wh,281,0
2023-06-05T12:45:00-05:00,900,Wh,311,0
2023-06-05T13:00:00-05:00,900,Wh,323,0
2023-06-05T13:15:00-05:00,900,Wh,395,0
2023-06-05T13:30:00-05:00,900,Wh,403,0
2023-06-05T13:45:00-05:00,900,Wh,391,0
2023-06-05T14:00:00-05:00,900,Wh,430,0
2023-06-05T14:15:00-05:00,900,Wh,440,0
2023-06-05T14:30:00-05:00,900,Wh,432,0
2023-06-05T14:45:00-05:00,900,Wh,395,0
2023-06-05T15:00:00-05:00,900,Wh,490,0
2023-06-05T15:15:00-05:00,900,Wh,437,0
2023-06-05T15:30:00-05:00,900,Wh,499,0
2023-06-05T15:45:00-05:00,900,Wh,535,0
2023-06-05T16:00:00-05:00,900,Wh,498,0
2023-06-05T16:15:00-05:00,900,Wh,534,0
2023-06-05T16:30:00-05:00,900,Wh,466,0
2023-06-05T16:45:00-05:00,900,Wh,437,0
2023-06-05T17:00:00-05:00,900,Wh,487,0
2023-06-05T17:15:00-05:00,900,Wh,450,0
2023-06-05T17:30:00-05:00,900,Wh,480,0
2023-06-05T17:45:00-05:00,900,Wh,517,0
2023-06-05T18:00:00-05:00,900,Wh,494,0
2023-06-05T18:15:00-05:00,900,Wh,456,0
2023-06-05T18:30:00-05:00,900,Wh,488,0
2023-06-05T18:45:00-05:00,900,Wh,473,0
2023-06-05T19:00:00-05:00,900,Wh,425,0
2023-06-05T19:15:00-05:00,900,Wh,1223,0
2023-06-05T19:30:00-05:00,900,Wh,1464,0
2023-06-05T19:45:00-05:00,900,Wh,1562,0
2023-06-05T20:00:00-05:00,900,Wh,1704,0
2023-06-05T20:15:00-05:00,900,Wh,1453,0
2023-06-05T20:30:00-05:00,900,Wh,1388,0
2023-06-05T20:45:00-05:00,900,Wh,1369,0
2023-06-05T21:00:00-05:00,900,Wh,1337,0
2023-06-05T21:15:00-05:00,900,Wh,1318,0
2023-06-05T21:30:00-05:00,900,Wh,1333,0
2023-06-05T21:45:00-05:00,900,Wh,1285,0
2023-06-05T22:00:00-05:00,900,Wh,1261,0
2023-06-05T22:15:00-05:00,900,Wh,1265,0
2023-06-05T22:30:00-05:00,900,Wh,1265,0
2023-06-05T22:45:00-05:00,900,Wh,1241,0
2023-06-05T23:00:00-05:00,900,Wh,1267,0
2023-06-05T23:15:00-05:00,900,Wh,1243,0
2023-06-05T23:30:00-05:00,900,Wh,750,0
2023-06-05T23:45:00-05:00,900,Wh,966,0
2023-06-06T00:00:00-05:00,900,Wh,850,0
2023-06-06T00:15:00-05:00,900,Wh,774,0
2023-06-06T00:30:00-05:00,900,Wh,916,0
2023-06-06T00:45:00-05:00,900,Wh,227,0
2023-06-06T01:00:00-05:00,900,Wh,220,0
2023-06-06T01:15:00-05:00,900,Wh,306,0
2023-06-06T01:30:00-05:00,900,Wh,1196,0
2023-06-06T01:45:00-05:00,900,Wh,810,0
2023-06-06T02:00:00-05:00,900,Wh,727,0
2023-06-06T02:15:00-05:00,900,Wh,745,0
2023-06-06T02:30:00-05:00,900,Wh,262,0
2023-06-06T02:45:00-05:00,900,Wh,228,0
2023-06-06T03:00:00-05:00,900,Wh,246,0
2023-06-06T03:15:00-05:00,900,Wh,1229,0
2023-06-06T03:30:00-05:00,900,Wh,829,0
2023-06-06T03:45:00-05:00,900,Wh,218,0
2023-06-06T04:00:00-05:00,900,Wh,254,0
